gene_name,entrezID
CCR9,10803
CCRL2,9034
CCS,9973
CCSER2,54462
CCT2,10576
CCT3,7203
CCT4,10575
CCT5,22948
CCT6A,908
CCT6B,10693
CCT7,10574
CCT8,10694
CCT8L2,150160
CCZ1,51622
CCZ1B,221960
CD101,9398
CD14,929
CD151,977
CD160,11126
CD163,9332
CD164,8763
CD177,57126
CD180,4064
CD19,930
CD1A,909
CD1B,910
CD1C,911
CD1D,912
CD1E,913
CD2,914
CD200,4345
CD207,50489
CD209,30835
CD226,10666
CD244,51744
CD247,919
CD248,57124
CD27,939
CD28,940
CD2AP,23607
CD2BP2,10421
CD300A,11314
CD300C,10871
CD302,9936
CD320,51293
CD33,945
CD34,947
CD36,948
CD37,951
CD38,952
CD3D,915
CD3E,916
CD3G,917
CD4,920
CD40,958
CD40LG,959
CD44,960
CD46,4179
CD47,961
CD48,962
CD5,921
CD52,1043
CD53,963
CD55,1604
CD58,965
CD59,966
CD5L,922
CD6,923
CD63,967
CD68,968
CD69,969
CD7,924
CD70,970
CD72,971
CD74,972
CD79A,973
CD79B,974
CD80,941
CD81,975
CD82,3732
CD83,9308
CD84,8832
CD86,942
CD8A,925
CD8B,926
CD9,928
CD93,22918
CD96,10225
CD99,4267
CDA,978
CDADC1,81602
CDC123,8872
CDC14A,8556
CDC14B,8555
CDC16,8881
CDC20,991
CDC23,8697
CDC25A,993
CDC25B,994
CDC25C,995
CDC27,996
CDC34,997
CDC37,11140
CDC37L1,55664
CDC40,51362
CDC42,998
CDC42BPA,8476
CDC42BPB,9578
CDC42EP1,11135
CDC42EP2,10435
CDC42EP3,10602
CDC42EP4,23580
CDC42SE1,56882
CDC42SE2,56990
CDC45,8318
CDC5L,988
CDC6,990
CDC7,8317
CDC73,79577
CDCA3,83461
CDCA4,55038
CDCA8,55143
CDCP1,64866
CDH1,999
CDH10,1008
CDH11,1009
CDH12,1010
CDH13,1012
CDH15,1013
CDH16,1014
CDH17,1015
CDH18,1016
CDH19,28513
CDH2,1000
CDH20,28316
CDH22,64405
CDH3,1001
CDH4,1002
CDH5,1003
CDH6,1004
CDH7,1005
CDH8,1006
CDH9,1007
CDHR1,92211
CDHR2,54825
CDHR5,53841
CDIP1,29965
CDIPT,10423
CDK1,983
CDK10,8558
CDK11B,984
CDK12,51755
CDK13,8621
CDK14,5218
CDK16,5127
CDK17,5128
CDK18,5129
CDK19,23097
CDK2,1017
CDK20,23552
CDK2AP1,8099
CDK2AP2,10263
CDK3,1018
CDK4,1019
CDK5,1020
CDK5R1,8851
CDK5R2,8941
CDK5RAP1,51654
CDK5RAP2,55755
CDK5RAP3,80279
CDK6,1021
CDK7,1022
CDK8,1024
CDK9,1025
CDKAL1,54901
CDKL1,8814
CDKL2,8999
CDKL3,51265
CDKL5,6792
CDKN1A,1026
CDKN1B,1027
CDKN1C,1028
CDKN2A,1029
CDKN2AIP,55602
CDKN2B,1030
CDKN2C,1031
CDKN2D,1032
CDKN3,1033
CDO1,1036
CDON,50937
CDR2,1039
CDR2L,30850
CDS1,1040
CDS2,8760
CDSN,1041
CDT1,81620
CDV3,55573
CDX1,1044
CDX2,1045
CDX4,1046
CDY1B,253175
CDY2B,203611
CDYL,9425
CEACAM1,634
CEACAM21,90273
CEACAM3,1084
CEACAM4,1089
CEACAM5,1048
CEACAM6,4680
CEACAM7,1087
CEACAM8,1088
CEBPA,1050
CEBPA-DT,80054
CEBPB,1051
CEBPD,1052
CEBPE,1053
CEBPG,1054
CEBPZ,10153
CEL,1056
CELA2A,63036
CELA2B,51032
CELA3A,10136
CELA3B,23436
CELF1,10658
CELF2,10659
CELF3,11189
CELSR1,9620
CELSR2,1952
CELSR3,1951
CEMIP,57214
CEMIP2,23670
CEND1,51286
CENPA,1058
CENPB,1059
CENPBD2P,65996
CENPC,1060
CENPE,1062
CENPF,1063
CENPI,2491
CENPJ,55835
CENPM,79019
CENPN,55839
CENPO,79172
CENPQ,55166
CENPS,378708
CENPT,80152
CENPU,79682
CENPX,201254
CEP104,9731
CEP112,201134
CEP131,22994
CEP135,9662
CEP152,22995
CEP162,22832
CEP164,22897
CEP170,9859
CEP170B,283638
CEP192,55125
CEP250,11190
CEP290,80184
CEP295,85459
CEP350,9857
CEP41,95681
CEP43,11116
CEP55,55165
CEP57,9702
CEP63,80254
CEP68,23177
CEP70,80321
CEP72,55722
CEP76,79959
CEP83,51134
CEP85,64793
CEP97,79598
CEPT1,10390
CER1,9350
CERK,64781
CERS1,10715
CERS2,29956
CERS4,79603
CERS6,253782
CERT1,10087
CES1,1066
CES2,8824
CETN1,1068
CETN2,1069
CETN3,1070
CETP,1071
CFAP100,348807
CFAP20,29105
CFAP298,56683
CFAP410,755
CFAP43,80217
CFAP44,55779
CFAP45,25790
CFAP46,54777
CFAP69,79846
CFAP70,118491
CFAP74,85452
CFB,629
CFD,1675
CFDP1,10428
CFH,3075
CFHR2,3080
CFHR4,10877
CFHR5,81494
CFI,3426
CFL1,1072
CFLAR,8837
CFP,5199
CFTR,1080
CGA,1081
CGB3,1082
CGGBP1,8545
CGREF1,10669
CGRRF1,10668
CH25H,9023
CHAC1,79094
CHAD,1101
CHAF1A,10036
CHAF1B,8208
CHAT,1103
CHCHD2,51142
CHCHD3,54927
CHCHD7,79145
CHD1,1105
CHD1L,9557
CHD2,1106
CHD3,1107
CHD4,1108
CHD5,26038
CHD7,55636
CHD8,57680
CHD9,80205
CHEK1,1111
CHEK2,11200
CHERP,10523
CHFR,55743
CHGA,1113
CHGB,1114
CHI3L1,1116
CHI3L2,1117
CHIA,27159
CHIC2,26511
CHIT1,1118
CHKA,1119
CHKB,1120
CHL1,10752
CHM,1121
CHML,1122
CHMP1A,5119
CHMP1B,57132
CHMP2A,27243
CHMP2B,25978
CHMP3,51652
CHMP4A,29082
CHMP5,51510
CHMP6,79643
CHMP7,91782
CHN1,1123
CHN2,1124
CHODL,140578
CHORDC1,26973
CHP1,11261
CHP2,63928
CHPF,79586
CHPF2,54480
CHPT1,56994
CHRD,8646
CHRDL1,91851
CHRM2,1129
CHRM3,1131
CHRM4,1132
CHRM5,1133
CHRNA1,1134
CHRNA10,57053
CHRNA2,1135
CHRNA3,1136
CHRNA4,1137
CHRNA5,1138
CHRNA6,8973
CHRNA7,1139
CHRNA9,55584
CHRNB1,1140
CHRNB2,1141
CHRNB3,1142
CHRNB4,1143
CHRND,1144
CHRNE,1145
CHRNG,1146
CHST1,8534
CHST10,9486
CHST11,50515
CHST12,55501
CHST15,51363
CHST2,9435
CHST3,9469
CHST4,10164
CHST5,23563
CHST7,56548
CHST8,64377
CHSY1,22856
CHTOP,26097
CHUK,1147
CIAO1,9391
CIAO2B,51647
CIAO3,64428
CIAPIN1,57019
CIB1,10519
CIB2,10518
CIC,23152
CIDEA,1149
CIDEB,27141
CIDEC,63924
CIITA,4261
CILK1,22858
CILP,8483
CINP,51550
CIR1,9541
CIRBP,1153
CISD1,55847
CISH,1154
CIT,11113
CITED1,4435
CITED2,10370
CIZ1,25792
CKAP2,26586
CKAP4,10970
CKAP5,9793
CKB,1152
CKLF,51192
CKM,1158
CKMT1A,1159
CKMT1B,1159
CKMT2,1160
CKS1B,1163
CKS2,1164
CLASP1,23332
CLASP2,23122
CLASRP,11129
CLBA1,122616
CLC,1178
CLCA1,1179
CLCA2,9635
CLCA3P,9629
CLCA4,22802
CLCC1,23155
CLCF1,23529
CLCN1,1180
CLCN2,1181
CLCN3,1182
CLCN4,1183
CLCN5,1184
CLCN6,1185
CLCN7,1186
CLCNKA,1187
CLCNKB,1188
CLDN1,9076
CLDN10,9071
CLDN11,5010
CLDN14,23562
CLDN15,24146
CLDN16,10686
CLDN17,26285
CLDN18,51208
CLDN3,1365
CLDN4,1364
CLDN5,7122
CLDN6,9074
CLDN7,1366
CLDN8,9073
CLDN9,9080
CLDND1,56650
CLEC10A,10462
CLEC11A,6320
CLEC16A,23274
CLEC1A,51267
CLEC1B,51266
CLEC2B,9976
CLEC2D,29121
CLEC3B,7123
CLEC4A,50856
CLEC4E,26253
CLEC4M,10332
CLEC5A,23601
CLEC7A,64581
CLGN,1047
CLIC1,1192
CLIC2,1193
CLIC3,9022
CLIC4,25932
CLIC5,53405
CLINT1,9685
CLIP1,6249
CLIP2,7461
CLIP3,25999
CLIP4,79745
CLK1,1195
CLK2,1196
CLK3,1198
CLK4,57396
CLMN,79789
CLN3,1201
CLN5,1203
CLN6,54982
CLN8,2055
CLNS1A,1207
CLOCK,9575
CLP1,10978
CLPB,81570
CLPP,8192
CLPS,1208
CLPTM1,1209
CLPX,10845
CLSPN,63967
CLSTN1,22883
CLSTN2,64084
CLSTN3,9746
CLTA,1211
CLTB,1212
CLTC,1213
CLTCL1,8218
CLU,1191
CLUAP1,23059
CLUH,23277
CLUL1,27098
CLXN,79645
CMA1,1215
CMAS,55907
CMC1,152100
CMC2,56942
CMKLR1,1240
CMKLR2,2825
CMPK1,51727
CMTM6,54918
CMTM8,152189
CMTR1,23070
CNBP,7555
CNDP2,55748
CNGA1,1259
CNGA3,1261
CNGB1,1258
CNGB3,54714
CNIH1,10175
CNIH3,149111
CNIH4,29097
CNKSR1,10256
CNKSR2,22866
CNMD,11061
CNN1,1264
CNN2,1265
CNN3,1266
CNNM1,26507
CNNM2,54805
CNNM3,26505
CNNM4,26504
CNOT1,23019
CNOT2,4848
CNOT3,4849
CNOT4,4850
CNOT6,57472
CNOT7,29883
CNOT8,9337
CNOT9,9125
CNP,1267
CNPPD1,27013
CNPY2,10330
CNPY3,10695
CNPY4,245812
CNR1,1268
CNR2,1269
CNTF,1270
CNTFR,1271
CNTLN,54875
CNTN1,1272
CNTN2,6900
CNTN5,53942
CNTN6,27255
CNTNAP1,8506
CNTNAP2,26047
CNTRL,11064
COA1,55744
COA3,28958
COA4,51287
COA7,65260
COASY,80347
COBL,23242
COBLL1,22837
COCH,1690
COG2,22796
COG4,25839
COG5,10466
COG7,91949
COIL,8161
COL10A1,1300
COL11A1,1301
COL11A2,1302
COL13A1,1305
COL14A1,7373
COL15A1,1306
COL16A1,1307
COL17A1,1308
COL18A1,80781
COL19A1,1310
COL1A1,1277
COL1A2,1278
COL21A1,81578
COL26A1,136227
COL2A1,1280
COL3A1,1281
COL4A1,1282
COL4A2,1284
COL4A3,1285
COL4A4,1286
COL4A5,1287
COL4A6,1288
COL5A1,1289
COL5A2,1290
COL5A3,50509
COL6A1,1291
COL6A2,1292
COL6A3,1293
COL7A1,1294
COL8A1,1295
COL8A2,1296
COL9A1,1297
COL9A2,1298
COL9A3,1299
COLEC10,10584
COLEC11,78989
COLEC12,81035
COLGALT1,79709
COLGALT2,23127
COLQ,8292
COMMD1,150684
COMMD10,51397
COMMD3,23412
COMMD4,54939
COMMD8,54951
COMMD9,29099
COMP,1311
COMT,1312
COPA,1314
COPB1,1315
COPB2,9276
COPE,11316
COPG1,22820
COPG2,26958
COPS2,9318
COPS3,8533
COPS4,51138
COPS5,10987
COPS6,10980
COPS7A,50813
COPS7B,64708
COPS8,10920
COPZ1,22818
COPZ2,51226
COQ10B,80219
COQ2,27235
COQ3,51805
COQ4,51117
COQ6,51004
COQ7,10229
COQ8A,56997
COQ8B,79934
COQ9,57017
CORIN,10699
CORO1A,11151
CORO1B,57175
CORO1C,23603
CORO2A,7464
CORO2B,10391
CORO7,79585
CORT,1325
COTL1,23406
COX10,1352
COX11,1353
COX15,1355
COX16,51241
COX17,10063
COX4I1,1327
COX5A,9377
COX5B,1329
COX6A1,1337
COX6A2,1339
COX6B1,1340
COX6C,1345
COX7A1,1346
COX7A2,1347
COX7A2L,9167
COX7B,1349
COX7C,1350
COX8A,1351
CP,1356
CPA1,1357
CPA2,1358
CPA3,1359
CPA4,51200
CPB1,1360
CPB2,1361
CPD,1362
CPE,1363
CPEB1,64506
CPEB3,22849
CPED1,79974
CPLANE1,65250
CPLANE2,79363
CPLX2,10814
CPLX3,594855
CPM,1368
CPN1,1369
CPN2,1370
CPNE1,8904
CPNE3,8895
CPNE6,9362
CPNE7,27132
CPOX,1371
CPPED1,55313
CPQ,10404
CPS1,1373
CPS1-IT1,29034
CPSF1,29894
CPSF4,10898
CPSF6,11052
CPSF7,79869
CPT1A,1374
CPT2,1376
CPTP,80772
CPVL,54504
CPZ,8532
CR1,1378
CR2,1380
CRABP1,1381
CRABP2,1382
CRACDL,343990
CRADD,8738
CRAT,1384
CRB1,23418
CRBN,51185
CRCP,27297
CRCT1,54544
CREB1,1385
CREB3,10488
CREB3L1,90993
CREB3L2,64764
CREB5,9586
CREBBP,1387
CREBL2,1389
CREBZF,58487
CREG1,8804
CRELD1,78987
CRELD2,79174
CREM,1390
CRH,1392
CRHBP,1393
CRHR1,1394
CRHR2,1395
CRIM1,51232
CRIP1,1396
CRIP2,1397
CRIPT,9419
CRISP1,167
CRISP2,7180
CRISP3,10321
CRISPLD2,83716
CRK,1398
CRKL,1399
CRLF1,9244
CRLF2,64109
CRLF3,51379
CRMP1,1400
CRNKL1,51340
CRNN,49860
CROCC,9696
CROCCP2,84809
CROCCP3,114819
CROT,54677
CRP,1401
CRTAC1,55118
CRTAM,56253
CRTAP,10491
CRTC1,23373
CRX,1406
CRY1,1407
CRY2,1408
CRYAA,1409
CRYAB,1410
CRYBA1,1411
CRYBA2,1412
CRYBA4,1413
CRYBB1,1414
CRYBB2,1415
CRYBB3,1417
CRYBG1,202
CRYBG2,55057
CRYBG3,131544
CRYGA,1418
CRYGB,1419
CRYGC,1420
CRYGD,1421
CRYL1,51084
CRYM,1428
CRYZ,1429
CRYZL1,9946
CS,1431
CSAD,51380
CSDC2,27254
CSDE1,7812
CSE1L,1434
CSF1,1435
CSF1R,1436
CSF2,1437
CSF2RA,1438
CSF2RB,1439
CSF3,1440
CSF3R,1441
CSGALNACT1,55790
CSGALNACT2,55454
CSH1,1442
CSH2,1443
CSHL1,1444
CSK,1445
CSN1S1,1446
CSN2,1447
CSN3,1448
CSNK1A1,1452
CSNK1D,1453
CSNK1E,1454
CSNK1G1,53944
CSNK1G2,1455
CSNK1G3,1456
CSNK2A1,1457
CSNK2A2,1459
CSNK2B,1460
CSPG4,1464
CSPG4P1Y,114758
CSPG5,10675
CSPP1,79848
CSRNP2,81566
CSRNP3,80034
CSRP1,1465
CSRP2,1466
CSRP3,8048
CST1,1469
CST2,1470
CST3,1471
CST4,1472
CST5,1473
CST6,1474
CST7,8530
CST8,10047
CSTA,1475
CSTB,1476
CSTF1,1477
CSTF2,1478
CSTF2T,23283
CSTF3,1479
CSTPP1,79096
CT55,54967
CT62,196993
CTAG1B,1485
CTAG2,30848
CTAGE1,64693
CTBP1,1487
CTBP2,1488
CTBS,1486
CTC1,80169
CTCF,10664
CTDNEP1,23399
CTDP1,9150
CTDSP1,58190
CTDSP2,10106
CTDSPL,10217
CTF1,1489
CTH,1491
CTIF,9811
CTLA4,1493
CTNNA1,1495
CTNNA2,1496
CTNNA3,29119
CTNNAL1,8727
CTNNB1,1499
CTNNBIP1,56998
CTNNBL1,56259
CTNND1,1500
CTNND2,1501
CTNS,1497
CTPS1,1503
CTPS2,56474
CTR9,9646
CTRB1,1504
CTRB2,440387
CTRC,11330
CTRL,1506
CTSA,5476
CTSB,1508
CTSC,1075
CTSD,1509
CTSE,1510
CTSF,8722
CTSG,1511
CTSH,1512
CTSK,1513
CTSL,1514
CTSO,1519
CTSS,1520
CTSV,1515
CTSW,1521
CTSZ,1522
CTTN,2017
CTTNBP2NL,55917
CUBN,8029
CUEDC1,404093
CUEDC2,79004
CUL1,8454
CUL2,8453
CUL3,8452
CUL4A,8451
CUL4B,8450
CUL5,8065
CUL7,9820
CUL9,23113
CUTA,51596
CUTC,51076
CUX1,1523
CUX2,23316
CUZD1,50624
CWC25,54883
CWF19L1,55280
CWH43,80157
CX3CL1,6376
CX3CR1,1524
CXADR,1525
CXCL1,2919
CXCL10,3627
CXCL11,6373
CXCL12,6387
CXCL13,10563
CXCL14,9547
CXCL2,2920
CXCL3,2921
CXCL5,6374
CXCL6,6372
CXCL8,3576
CXCL9,4283
CXCR1,3577
CXCR2,3579
CXCR3,2833
CXCR4,7852
CXCR5,643
CXCR6,10663
CXXC1,30827
CXXC4,80319
CYB561,1534
CYB561D2,11068
CYB5A,1528
CYB5B,80777
CYB5R1,51706
CYB5R2,51700
CYB5R3,1727
CYB5R4,51167
CYBA,1535
CYBB,1536
CYBC1,79415
CYBRD1,79901
CYC1,1537
CYCS,54205
CYFIP1,23191
CYFIP2,26999
CYLC1,1538
CYLC2,1539
CYLD,1540
CYP11A1,1583
CYP11B1,1584
CYP11B2,1585
CYP17A1,1586
CYP19A1,1588
CYP1A1,1543
CYP1A2,1544
CYP1B1,1545
CYP20A1,57404
CYP21A2,1589
CYP24A1,1591
CYP26A1,1592
CYP26B1,56603
CYP27A1,1593
CYP27B1,1594
CYP2A13,1553
CYP2A6,1548
CYP2B6,1555
CYP2B7P,1556
CYP2C18,1562
CYP2C19,1557
CYP2C8,1558
CYP2C9,1559
CYP2D6,1565
CYP2E1,1571
CYP2F1,1572
CYP2J2,1573
CYP2R1,120227
CYP2U1,113612
CYP2W1,54905
CYP39A1,51302
CYP3A4,1576
CYP3A43,64816
CYP3A5,1577
CYP3A7,1551
CYP46A1,10858
CYP4A11,1579
CYP4B1,1580
CYP4F11,57834
CYP4F12,66002
CYP4F2,8529
CYP4F3,4051
CYP4F8,11283
CYP51A1,1595
CYP7A1,1581
CYP7B1,9420
CYREN,78996
CYRIA,81553
CYRIB,51571
CYSLTR1,10800
CYSLTR2,57105
CYTH1,9267
CYTH2,9266
CYTH3,9265
CYTH4,27128
CYTIP,9595
CYTL1,54360
CZIB,54987
DAAM1,23002
DAAM2,23500
DAB1,1600
DAB2,1601
DACH1,1602
DACT1,51339
DAD1,1603
DAG1,1605
DAGLA,747
DALRD3,55152
DAO,1610
DAP,1611
DAP3,7818
DAPK1,1612
DAPK2,23604
DAPK3,1613
DAPP1,27071
DARS1,1615
DARS2,55157
DAXX,1616
DAZ1,1617
DAZAP1,26528
DAZAP2,9802
DAZL,1618
DBF4,10926
DBF4B,80174
DBH,1621
DBI,1622
DBN1,1627
DBNDD1,79007
DBNDD2,55861
DBP,1628
DBR1,51163
DBT,1629
DCAF1,9730
DCAF10,79269
DCAF11,80344
DCAF13,25879
DCAF15,90379
DCAF16,54876
DCAF17,80067
DCAF4,26094
DCAF6,55827
DCAF7,10238
DCAF8,50717
DCAKD,79877
DCBLD2,131566
DCC,1630
DCHS1,8642
DCHS2,54798
DCK,1633
DCLK1,9201
DCLK2,166614
DCLRE1A,9937
DCLRE1B,64858
DCLRE1C,64421
DCN,1634
DCP1A,55802
DCP2,167227
DCPS,28960
DCSTAMP,81501
DCT,1638
DCTD,1635
DCTN1,1639
DCTN2,10540
DCTN3,11258
DCTN4,51164
DCTN5,84516
DCTN6,10671
DCTPP1,79077
DCUN1D1,54165
DCUN1D2,55208
DCUN1D4,23142
DCX,1641
DCXR,51181
DDA1,79016
DDAH1,23576
DDAH2,23564
DDB1,1642
DDB2,1643
DDC,1644
DDHD2,23259
DDIT3,1649
DDIT4,54541
DDN,23109
DDO,8528
DDOST,1650
DDR1,780
DDR2,4921
DDRGK1,65992
DDT,1652
DDX1,1653
DDX10,1662
DDX11,1663
DDX17,10521
DDX18,8886
DDX19A,55308
DDX19B,11269
DDX21,9188
DDX23,9416
DDX24,57062
DDX25,29118
DDX27,55661
DDX28,55794
DDX31,64794
DDX39A,10212
DDX39B,7919
DDX3X,1654
DDX3Y,8653
DDX4,54514
DDX41,51428
DDX42,11325
DDX43,55510
DDX46,9879
DDX47,51202
DDX49,54555
DDX5,1655
DDX50,79009
DDX51,317781
DDX52,11056
DDX54,79039
DDX56,54606
DDX6,1656
DDX60,55601
DEAF1,10522
DECR1,1666
DECR2,26063
DEDD,9191
DEF6,50619
DEF8,54849
DEFA1,1667
DEFA4,1669
DEFA5,1670
DEFA6,1671
DEFB1,1672
DEFB126,81623
DEFB4A,1673
DEFB4B,1673
DEGS1,8560
DEK,7913
DELE1,9812
DENND10,404636
DENND1A,57706
DENND1C,79958
DENND2A,27147
DENND2B,6764
DENND2D,79961
DENND3,22898
DENND4A,10260
DENND4B,9909
DENND4C,55667
DENND5A,23258
DENND5B,160518
DENR,8562
DEPDC1,55635
DEPDC5,9681
DEPP1,11067
DEPTOR,64798
DERA,51071
DERL1,79139
DERL2,51009
DES,1674
DESI1,27351
DESI2,51029
DET1,55070
DEXI,28955
DFFA,1676
DFFB,1677
DGAT1,8694
DGCR11,25786
DGCR2,9993
DGCR5,26220
DGCR6,8214
DGCR6L,85359
DGCR8,54487
DGKA,1606
DGKB,1607
DGKD,8527
DGKE,8526
DGKG,1608
DGKI,9162
DGKQ,1609
DGKZ,8525
DGLUCY,80017
DGUOK,1716
DHCR24,1718
DHCR7,1717
DHDDS,79947
DHFR,1719
DHODH,1723
DHPS,1725
DHRS1,115817
DHRS11,79154
DHRS12,79758
DHRS2,10202
DHRS3,9249
DHRS4,10901
DHRS7,51635
DHRS7B,25979
DHRS9,10170
DHTKD1,55526
DHX15,1665
DHX16,8449
DHX29,54505
DHX30,22907
DHX32,55760
DHX34,9704
DHX35,60625
DHX38,9785
DHX40,79665
DHX57,90957
DHX58,79132
DHX8,1659
DHX9,1660
DIABLO,56616
DIAPH1,1729
DIAPH2,1730
DIAPH2-AS1,10824
DIAPH3,81624
DICER1,23405
DIDO1,11083
DIMT1,27292
DIO1,1733
DIO2,1734
DIO3,1735
DIP2A,23181
DIP2C,22982
DIPK1A,388650
DIPK2B,79742
DIRAS2,54769
DIRAS3,9077
DIS3,22894
DISC1,27185
DIXDC1,85458
DKC1,1736
DKFZP434A062,26102
DKK1,22943
DKK2,27123
DKK3,27122
DKK4,27121
DKKL1,27120
DLAT,1737
DLC1,10395
DLD,1738
DLEC1,9940
DLEU1,10301
DLG1,1739
DLG2,1740
DLG3,1741
DLG4,1742
DLG5,9231
DLGAP1,9229
DLGAP2,9228
DLGAP4,22839
DLGAP5,9787
DLK1,8788
DLK2,65989
DLL3,10683
DLST,1743
DLX2,1746
DLX4,1748
DLX5,1749
DLX6,1750
DMAC2,55101
DMAC2L,27109
DMBT1,1755
DMC1,11144
DMD,1756
DMP1,1758
DMPK,1760
DMRT1,1761
DMTF1,9988
DMTN,2039
DMWD,1762
DMXL1,1657
DMXL2,23312
DNA2,1763
DNAAF1,123872
DNAAF11,23639
DNAAF2,55172
DNAAF5,54919
DNAAF8,146562
DNAH17,8632
DNAH2,146754
DNAH3,55567
DNAH7,56171
DNAH9,1770
DNAI1,27019
DNAI2,64446
DNAI4,79819
DNAI7,55259
DNAJA1,3301
DNAJA2,10294
DNAJA3,9093
DNAJA4,55466
DNAJB1,3337
DNAJB12,54788
DNAJB14,79982
DNAJB2,3300
DNAJB4,11080
DNAJB5,25822
DNAJB6,10049
DNAJB9,4189
DNAJC1,64215
DNAJC10,54431
DNAJC11,55735
DNAJC12,56521
DNAJC13,23317
DNAJC15,29103
DNAJC16,23341
DNAJC17,55192
DNAJC2,27000
DNAJC22,79962
DNAJC24,120526
DNAJC28,54943
DNAJC3,5611
DNAJC4,3338
DNAJC6,9829
DNAJC7,7266
DNAJC8,22826
DNAJC9,23234
DNAL4,10126
DNALI1,7802
DNASE1,1773
DNASE1L1,1774
DNASE1L2,1775
DNASE1L3,1776
DNASE2,1777
DNASE2B,58511
DND1,373863
DNM1,1759
DNM1L,10059
DNM2,1785
DNM3,26052
DNMBP,23268
DNMT1,1786
DNMT3A,1788
DNMT3B,1789
DNMT3L,29947
DNPEP,23549
DNPH1,10591
DNTT,1791
DNTTIP2,30836
DOC2A,8448
DOC2B,8447
DOCK1,1793
DOCK10,55619
DOCK2,1794
DOCK3,1795
DOCK4,9732
DOCK5,80005
DOCK6,57572
DOCK9,23348
DOHH,83475
DOK1,1796
DOK2,9046
DOK3,79930
DOK4,55715
DOK5,55816
DOLK,22845
DOLPP1,57171
DONSON,29980
DOP1A,23033
DOP1B,9980
DOT1L,84444
DPAGT1,1798
DPEP1,1800
DPEP2,64174
DPEP3,64180
DPF1,8193
DPF2,5977
DPF3,8110
DPH2,1802
DPH5,51611
DPM1,8813
DPM2,8818
DPM3,54344
DPP3,10072
DPP4,1803
DPP6,1804
DPP8,54878
DPPA4,55211
DPT,1805
DPY19L1,23333
DPY19L2P2,349152
DPY19L4,286148
DPYD,1806
DPYS,1807
DPYSL2,1808
DPYSL3,1809
DPYSL4,10570
DR1,1810
DRAM1,55332
DRAP1,10589
DRC3,83450
DRD1,1812
DRD2,1813
DRD3,1814
DRD4,1815
DRD5,1816
DRG1,4733
DRG2,1819
DRICH1,51233
DROSHA,29102
DRP2,1821
DSC1,1823
DSC2,1824
DSC3,1825
DSCAM,1826
DSCC1,79075
DSCR4,10281
DSE,29940
DSG1,1828
DSG2,1829
DSG3,1830
DSN1,79980
DSP,1832
DSPP,1834
DST,667
DSTN,11034
DSTNP2,171220
DSTYK,25778
DTL,51514
DTNA,1837
DTNB,1838
DTWD1,56986
DTX2,113878
DTX2P1-UPK3BP1-PMS2P11,441263
DTX3,196403
DTX4,23220
DTYMK,1841
DUOX1,53905
DUOX2,50506
DUS1L,64118
DUS2,54920
DUS4L,11062
DUSP1,1843
DUSP10,11221
DUSP11,8446
DUSP12,11266
DUSP13,51207
DUSP14,11072
DUSP2,1844
DUSP21,63904
DUSP22,56940
DUSP26,78986
DUSP3,1845
DUSP4,1846
DUSP5,1847
DUSP6,1848
DUSP7,1849
DUSP8,1850
DUSP9,1852
DUT,1854
DVL1,1855
DVL2,1856
DVL3,1857
DXO,1797
DYM,54808
DYNC1H1,1778
DYNC1I1,1780
DYNC1I2,1781
DYNC1LI1,51143
DYNC1LI2,1783
DYNC2H1,79659
DYNC2I1,55112
DYNC2LI1,51626
DYNLL1,8655
DYNLRB1,83658
DYNLT1,6993
DYNLT3,6990
DYRK1A,1859
DYRK1B,9149
DYRK2,8445
DYRK3,8444
DYRK4,8798
DYSF,8291
DZANK1,55184
DZIP1,22873
DZIP3,9666
E2F1,1869
E2F2,1870
E2F3,1871
E2F4,1874
E2F5,1875
E2F6,1876
E2F8,79733
E4F1,1877
EAF2,55840
EAPP,55837
EBAG9,9166
EBF2,64641
EBI3,10148
EBLN2,55096
EBNA1BP2,10969
EBP,10682
ECD,11319
ECE1,1889
ECE2,9718
ECEL1,9427
ECH1,1891
ECHDC1,55862
ECHDC2,55268
ECHDC3,79746
ECHS1,1892
ECI1,1632
ECI2,10455
ECM1,1893
ECM2,1842
ECPAS,23392
ECSIT,51295
ECT2,1894
EDA,1896
EDA2R,60401
EDAR,10913
EDC3,80153
EDC4,23644
EDDM3A,10876
EDDM3B,64184
EDEM1,9695
EDEM2,55741
EDEM3,80267
EDF1,8721
EDIL3,10085
EDN1,1906
EDN2,1907
EDN3,1908
EDNRA,1909
EDNRB,1910
EDRF1,26098
EEA1,8411
EED,8726
EEF1A1,1915
EEF1A2,1917
EEF1AKMT2,399818
EEF1AKMT3,25895
EEF1B2,1933
EEF1D,1936
EEF1E1,9521
EEF1G,1937
EEF2,1938
EFCAB11,90141
EFCAB14,9813
EFCAB2,84288
EFCAB6,64800
EFCC1,79825
EFEMP1,2202
EFEMP2,30008
EFHC1,114327
EFHC2,80258
EFHD1,80303
EFHD2,79180
EFL1,79631
EFNA1,1942
EFNA2,1943
EFNA3,1944
EFNA4,1945
EFNA5,1946
EFNB1,1947
EFNB2,1948
EFNB3,1949
EFR3A,23167
EFR3B,22979
EFS,10278
EGF,1950
EGFL6,25975
EGFL7,51162
EGFL8,80864
EGFR,1956
EGLN1,54583
EGLN2,112398
EGLN3,112399
EGR1,1958
EGR2,1959
EGR3,1960
EGR4,1961
EHBP1,23301
EHBP1L1,254102
EHD1,10938
