drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action,match_type,matched_name_in_cmap
CHEMBL940,GABAPENTIN,Auxiliary transport protein|Ion channel,CI-945|DM-1796|GOE 3450|GOE-3450|Gabapentin|Gabapentina|Gabapentine|NSC-742194|NSC-759254,Small molecule,Voltage-gated calcium channel modulator,drug_common_name,gabapentin
CHEMBL548,DINOPROSTONE,Membrane receptor,"Dinoprostona|Dinoprostone|Dinoprostone beta-cyclodextrin clathrate|Enzaprost e|Minprostin e2|NSC-165560|NSC-196514|Prostaglandin e2|U-12,062|U-12062",Small molecule,Prostaglandin E2 receptor agonist,drug_common_name,dinoprostone
CHEMBL1231,OXYBUTYNIN,Membrane receptor,Oxibutinina|Oxybutynin|Oxybutynine,Small molecule,Muscarinic acetylcholine receptor M3 antagonist,drug_common_name,oxybutynin
CHEMBL2355051,CLOMIPHENE,Transcription factor,Clomifene|Clomifeno|Clomiphene,Small molecule,Estrogen receptor alpha modulator,drug_synonym,clomifene
CHEMBL571,KETOPROFEN,Enzyme,"(rs)-ketoprofen|19583RP|Actron ketoprofen|Aneol|Capisten|Hydratropic acid, m-benzoyl-|IDEA-033|Iso-k|Ketoprofen|Ketoprofene|Ketoprofeno|Ketorin|NSC-758144|R.P. 19,583|R.P. 19583|RP-19583|RU-4733|Sector",Small molecule,Cyclooxygenase inhibitor,drug_common_name,ketoprofen
CHEMBL964,DISULFIRAM,Enzyme,Disulfiram|Disulfirame|NSC-25953|ORA-102|ORA102,Small molecule,Aldehyde dehydrogenase inhibitor,drug_common_name,disulfiram
CHEMBL21731,MAPROTILINE,Transporter,"BA-34,276 FREE BASE|BA-34,276 [AS HYDROCHLORIDE]|BA-34276 FREE BASE|Maprotilina|Maprotiline",Small molecule,Norepinephrine transporter inhibitor,drug_common_name,maprotiline
CHEMBL71,CHLORPROMAZINE,Membrane receptor,Aminazine|Chlorpromazine|Chlorpromazine hibenzate|Chlorpromazine phenolphthalinate|Chlorpromazine tannate|Chlorpromazinum|Clorpromazina|Esmind|Fenactil|J2.794D|Largactilothiazine|NSC-167745|NSC-226514|Novomazina|Propaphenin|SKF-2601A|Sanopron|Sonazine|Wintermin,Small molecule,D2-like dopamine receptor antagonist,drug_common_name,chlorpromazine
CHEMBL139835,CYPROTERONE ACETATE,Transcription factor,Ciproterona|Cyproterone|Cyproterone 17.alpha.-acetate|Cyproterone acetate|NSC-81430|SH 714|SH-714|SH714,Small molecule,Glucocorticoid receptor antagonist,drug_synonym,cyproterone
CHEMBL142635,NAFTOPIDIL,Membrane receptor,Flivas|NSC-759293|Naftopidil,Small molecule,Alpha-1d adrenergic receptor antagonist,drug_common_name,naftopidil
CHEMBL1684,BENDROFLUMETHIAZIDE,Transporter,Bendrofluazide|Bendroflumethiazide|Bendroflumetiazida|Benzydroflumethiazide|NSC-758229,Small molecule,Thiazide-sensitive sodium-chloride cotransporter inhibitor,drug_common_name,bendroflumethiazide
CHEMBL181,DIAZOXIDE,Ion channel,Diazoxide|Diazoxido|Diazoxidum|Eudemine injection|Hypertonalum|NSC-64198|NSC-76130|SCH 6783|SCH-6783|SRG 95213|SRG-95213,Small molecule,"Potassium channel, inwardly rectifying, subfamily J, member 11 opener",drug_common_name,diazoxide
CHEMBL19236,MOXONIDINE,Other cytosolic protein,BDF-5896|BDF5896|BE-5895|BE5895|LY-326869|LY326869|Moxonidina|Moxonidine,Small molecule,Nischarin agonist,drug_common_name,moxonidine
CHEMBL2,PRAZOSIN,Membrane receptor,CP-12299|CP-122991|Prazosin|Prazosina|Prazosine,Small molecule,Adrenergic receptor alpha-1 antagonist,drug_common_name,prazosin
CHEMBL267936,MECAMYLAMINE,Ion channel,Mecamilamina|Mecamylamine,Small molecule,Neuronal acetylcholine receptor; alpha3/beta4 negative allosteric modulator,drug_common_name,mecamylamine
CHEMBL459,METHYLDOPA,Membrane receptor,"(-)-.alpha.-methyldopa|(s)-(-)-.alpha.-methyldopa|.alpha.-methyl-l-dopa|Alpha-methyldopa|Anhydrous methyldopa|BAYER-1440L|J9.247I|L-.alpha.-methyldopa|MK-351|Methyldopa|Methyldopa (levorotatory)|Methyldopa anhydrous|Methyldopa hydrate|Methyldopa sesquihydrate|Methyldopa, anhydrous|Metildopa|NSC-169916|NSC-760080",Small molecule,Adrenergic receptor alpha-2 agonist,drug_common_name,methyldopa
CHEMBL673,PARGYLINE,Enzyme,Eutonyl|Eutron|Pargilina|Pargyline,Small molecule,Monoamine oxidase inhibitor,drug_common_name,pargyline
CHEMBL681,ETOMIDATE,Ion channel,Etomidate|Etomidato|Hypnomidate|NSC-759160,Small molecule,GABA-A receptor; anion channel positive modulator,drug_common_name,etomidate
CHEMBL862,GUANFACINE,Membrane receptor,Guanfacina|Guanfacine|NSC-759121|Tenex,Small molecule,Adrenergic receptor alpha-2 agonist,drug_common_name,guanfacine
CHEMBL1004,DOXYLAMINE,Membrane receptor,Decapryn|Doxilamina|Doxy-Sleep-Aid|Doxylamine|Unisom,Small molecule,Histamine H1 receptor antagonist,drug_common_name,doxylamine
CHEMBL569713,SCOPOLAMINE,Membrane receptor,Scopolamine,Small molecule,Muscarinic acetylcholine receptor M1 antagonist,drug_common_name,scopolamine
CHEMBL660,AMANTADINE,Ion channel,Amantadina|Amantadine|Amantidine|NSC-341865|Symadine|Symmetrel|TCMDC-125869,Small molecule,Glutamate [NMDA] receptor antagonist,drug_common_name,amantadine
CHEMBL897,PROBENECID,Transporter,HC 5006|NSC-18786|P-(dipropylsulfamoyl)benzoic acid|Probenate|Probenecid|Probenecide|Probenecidum,Small molecule,Solute carrier family 22 member 11 inhibitor,drug_common_name,probenecid
CHEMBL1200853,DYDROGESTERONE,Transcription factor,Didrogesterona|Dydrogesterone|Isopregnenone|NSC-92336,Small molecule,Progesterone receptor agonist,drug_common_name,dydrogesterone
CHEMBL154,NAPROXEN,Enzyme,Aleve|Anaprox|NSC-750183|NSC-757239|Naprelan|Naproxen|Naproxene|Naproxeno|PN400 COMPONENT NAPROXEN|RS-3540,Small molecule,Cyclooxygenase inhibitor,drug_common_name,naproxen
CHEMBL469,KETOROLAC,Enzyme,Ketorolac|Ketorolaco,Small molecule,Cyclooxygenase inhibitor,drug_common_name,ketorolac
CHEMBL499,TIMOLOL,Membrane receptor,Blocadren|Istalol|Timolol|Timolol anhydrous|Timolol hemihydrate|Timoptic|Timoptic-XE,Small molecule,Beta-1 adrenergic receptor antagonist,drug_common_name,timolol
CHEMBL698,TETRACAINE,Ion channel,Amethocaine|Tetracaina|Tetracaine,Small molecule,Sodium channel alpha subunit blocker,drug_common_name,tetracaine
CHEMBL1628227,DOXEPIN,Transporter,Doxepin|Doxepina|Doxepine|P-3693A|Zonalon,Small molecule,Norepinephrine transporter inhibitor,drug_common_name,doxepin
CHEMBL549,CITALOPRAM,Transporter,Celexa|Citadur|Citalopram,Small molecule,Serotonin transporter inhibitor,drug_common_name,citalopram
CHEMBL558,MEXILETINE,Ion channel,(rs)-mexiletine|Dl-mexiletine|Mexiletina|Mexiletine,Small molecule,Sodium channel alpha subunit blocker,drug_common_name,mexiletine
CHEMBL11,IMIPRAMINE,Transporter,"Antideprin|Berkomine|Cristalia|Imipramina|Imipramine|Janimine|Melipramine|NSC-169866|ORG-2463|Pramine|Presamine|Sermonil|Tofranil|Tofranil-PM|Trimipramine maleate impurity, imipramine-",Small molecule,Norepinephrine transporter inhibitor,drug_common_name,imipramine
CHEMBL490,PAROXETINE,Transporter,"(-)3s,4r-paroxetine|Arketis|Arotin|BRL 29060|BRL-29060|Besitram|Casbol|Daparox|Fg-7051|Frosinor|Motivan|Parogen|Paroxetina|Paroxetine|Paxil|Paxpar|Pexeva|Xetanor",Small molecule,Serotonin transporter inhibitor,drug_common_name,paroxetine
CHEMBL1274,NILUTAMIDE,Transcription factor,NSC-758683|Nilutamida|Nilutamide|RU 23908|RU-23908,Small molecule,Androgen Receptor antagonist,drug_common_name,nilutamide
CHEMBL313972,MASOPROCOL,Enzyme,"CHX-100|Dihydronorguaiaretic acid|Dinorguaiaretic acid, dihydro-|INSM-18|Insm-18|Insm18|MESO-NDGA|Masoprocol|Meso-nordihydroguaiaretic acid|NSC-4291|NSC-682984|Nordihydroguaiaretate|Nordihydroguaiaretic acid|Nordihydroguiaretic acid|Oristar nhga",Small molecule,Insulin-like growth factor I receptor inhibitor,drug_synonym,nordihydroguaiaretic acid
CHEMBL411,DIETHYLSTILBESTROL,Transcription factor,Cyren a|Diethylstilbestrol|Dietilestilbestrol|Estrobene|Estrogenine|Estromenin|Fonatol|NSC-3070|New-estranol 1|Palestrol|Stilbestro|Stilbestroform|Stilbestrol|Stilboestrol|Synestrin|Synthestrin,Small molecule,Estrogen receptor alpha agonist,drug_common_name,diethylstilbestrol
CHEMBL53,APOMORPHINE,Membrane receptor,"6a.beta.-aporphine-10,11-diol|APL-130277|Apomorphine|Apomorphinum|VR-040|VR040",Small molecule,D2-like dopamine receptor agonist,drug_common_name,apomorphine
CHEMBL761,NAPHAZOLINE,Membrane receptor,Nafazair|Nafazolin|Nafazolina|Naphazoline,Small molecule,Adrenergic receptor alpha agonist,drug_common_name,naphazoline
CHEMBL814,FLUVOXAMINE,Transporter,Fluvoxamina|Fluvoxamine|N06AB08,Small molecule,Serotonin transporter inhibitor,drug_common_name,fluvoxamine
CHEMBL63,ROLIPRAM,Enzyme,"(r,s)-rolipram|NSC-760125|Rolipram|SB-95952|ZK 62 711|ZK-62711|ZK-62771",Small molecule,Phosphodiesterase 4 inhibitor,drug_common_name,rolipram
CHEMBL1093,ARTICAINE,Ion channel,40 045|40-045|Articaina|Articaine|Carticaine|HOE 045|HOE-045|Septocaine,Small molecule,Sodium channel alpha subunit blocker,drug_common_name,articaine
CHEMBL563,FLURBIPROFEN,Enzyme,"BTS 18,322|BTS-18322|Flubiprofen|Flurbiprofen|Flurbiprofene|Flurbiprofeno|NSC-757037|Ocufen|U-27,182|U-27182",Small molecule,Cyclooxygenase inhibitor,drug_common_name,flurbiprofen
CHEMBL806,FLUTAMIDE,Transcription factor,Flutamida|Flutamide|NSC-215876|SCH 13521|SCH-13521,Small molecule,Androgen Receptor antagonist,drug_common_name,flutamide
CHEMBL253371,ALVERINE,Unclassified protein,Alverina|Alverine|Phenpropamine,Small molecule,Hepatocyte nuclear factor 4-alpha activator,drug_common_name,alverine
CHEMBL1089,PHENELZINE,Enzyme,Fenelzina|Nardil|Phenelzine,Small molecule,Monoamine oxidase inhibitor,drug_common_name,phenelzine
CHEMBL1200386,PREDNICARBATE,Transcription factor,HOE 777|HOE-777|LAS-189961|LAS-41003 COMPONENT PREDNICARBATE|LAS189961|NSC-760042|Prednicarbate|Prednicarbato|S 77 0777|S-77 0777|S-77-0777|S-770777,Small molecule,Glucocorticoid receptor agonist,drug_common_name,prednicarbate
CHEMBL902,FAMOTIDINE,Membrane receptor,Amfamox|Fadul|Famodil|Famosan|Famotidina|Famotidine|Famoxal|Ganor|Gastridin|Gastropen|L 643341|Lecedil|MK-208|Motiax|Muclox|NSC-757810|Pepcidac|Pepdine|Pepdul|YM-11170,Small molecule,Histamine H2 receptor antagonist,drug_common_name,famotidine
CHEMBL54,HALOPERIDOL,Ion channel|Membrane receptor,"Haloperidol|Haloperidol decanoate impurity, haloperidol-|MCN-JR-1625|NSC-170973|NSC-615296|R-1625",Small molecule,Serotonin 2a (5-HT2a) receptor antagonist,drug_common_name,haloperidol
CHEMBL85,RISPERIDONE,Membrane receptor,"LY-03004|LY03004|N05AX08|NSC-759895|Perseris|R 64 766|R-64,766|R-64-766|R-64766|RCN-3028|RCN3028|Risperidona|Risperidone|Rykindo|Uzedy",Small molecule,Serotonin 2c (5-HT2c) receptor antagonist,drug_common_name,risperidone
CHEMBL1200413,TETRAHYDROZOLINE HYDROCHLORIDE,Membrane receptor,NSC-757339|Tetrahydrozoline hydrochloride|Tetrahydrozoline nitrate|Tetryzoline|Tetryzoline hydrochloride,Small molecule,Adrenergic receptor alpha agonist,drug_synonym,tetryzoline
CHEMBL1266,TETRAHYDROZOLINE,Membrane receptor,Caltheon|Tetrahydrozoline|Tetrizolina|Tetryzoline|Tyzine,Small molecule,Adrenergic receptor alpha agonist,drug_synonym,tetryzoline
CHEMBL1070,NABUMETONE,Enzyme,BRL 14777|BRL-14777|NSC-758623|Nabumetona|Nabumetone,Small molecule,Cyclooxygenase-2 inhibitor,drug_common_name,nabumetone
CHEMBL960,LEFLUNOMIDE,Enzyme,HWA-486|L04AA13|Leflunomida|Leflunomide|Leflunomide medac|Leflunomide ratiopharm|Leflunomide teva|Leflunomide winthrop|NSC-677411|NSC-759864|Repso|SU-101|SU101|SULOL,Small molecule,Dihydroorotate dehydrogenase inhibitor,drug_common_name,leflunomide
CHEMBL46,ONDANSETRON,Ion channel|Membrane receptor,A04AA01|Desmethylondansetron|EUR-1025|GR-38032|GR-38032F|NSC-757870|Ondansetron|Zofran,Small molecule,Serotonin 3a (5-HT3a) receptor antagonist,drug_common_name,ondansetron
CHEMBL81,RALOXIFENE,Transcription factor,Eviden|Evista|J22.982B|Keoxifene|LY-139481|NSC-747974|Raloxifene|Raloxifeno|Raloxiphene|Raxeto,Small molecule,Estrogen receptor beta modulator,drug_common_name,raloxifene
CHEMBL550,PILOCARPINE,Membrane receptor,Ocucarpine|Pilocarpine|Pilocarpinum|Pilocarpol|Pilokarpin|Spersacarpine|Syncarpine,Small molecule,Muscarinic acetylcholine receptor M3 agonist,drug_common_name,pilocarpine
CHEMBL1194,PRILOCAINE,Ion channel,ASTRA-1512|ASTRA-1515|Citanest|NSC-40027|Prilocaina|Prilocaine|Propitocaine,Small molecule,Sodium channel alpha subunit blocker,drug_common_name,prilocaine
CHEMBL1200545,DIFLORASONE DIACETATE,Transcription factor,"Diflorasona|Diflorasone|Diflorasone diacetate|Murode|U-34,865|U-34865",Small molecule,Glucocorticoid receptor agonist,drug_synonym,diflorasone
CHEMBL1200989,ALCLOMETASONE DIPROPIONATE,Transcription factor,"Alclometasona|Alclometasone|Alclometasone 17,21-dipropionate|Alclometasone dipropionate|NSC-758914|SCH 22219|SCH-22219",Small molecule,Glucocorticoid receptor agonist,drug_synonym,alclometasone
CHEMBL72,DESIPRAMINE,Transporter,"Desipramina|Desipramine|Imipramine, demethyl-|Monodemethylimipramine|N-desmethylimipramine|Norimipramine",Small molecule,Norepinephrine transporter inhibitor,drug_common_name,desipramine
CHEMBL1009,LEVODOPA,Membrane receptor,Bendopa|Cvt-301|Levodopa|Levodopa component of carbilev|Levodopa component of parcopa|Levodopa component of sinemet|Levodopum|NSC-118381|V-1512,Small molecule,Dopamine D3 receptor agonist,drug_common_name,levodopa
CHEMBL516,CYPROHEPTADINE,Membrane receptor,Ciproheptadina|Ciprovit|Cyproheptadine,Small molecule,Histamine H1 receptor antagonist,drug_common_name,cyproheptadine
CHEMBL189,MILRINONE,Enzyme,"Milrila|Milrinona|Milrinone|NSC-760072|WIN 47,203-2|WIN-47203-2",Small molecule,Phosphodiesterase 3A inhibitor,drug_common_name,milrinone
CHEMBL569,PROCAINE,Ion channel,NSC-169497|Novocain|Procaina|Procaine,Small molecule,Sodium channel alpha subunit blocker,drug_common_name,procaine
CHEMBL1162,NORETHINDRONE,Transcription factor,Activella|Anovule|Aygestin|Calluna vulgaris|Calluna vulgaris whole|Combipatch|Femhrt|Gestest|Heather whole|NSC-9564|Norethindrone|Norethisteron|Norethisterone|Norethisteronum|Noretisterona|Norlutate|SC-4640|Triella,Small molecule,Progesterone receptor agonist,drug_synonym,norethisterone
CHEMBL24441,BETAHISTINE,Membrane receptor,Betahistina|Betahistine,Small molecule,Histamine H3 receptor antagonist,drug_common_name,betahistine
CHEMBL493,BROMOCRIPTINE,Membrane receptor,"2-bromo-.alpha.-ergocryptine|Bromergocryptine|Bromocriptina|Bromocriptine|CB-154|Ergocryptine, 2-bromo-|SANDOZ 15-754",Small molecule,D2-like dopamine receptor agonist,drug_common_name,bromocriptine
CHEMBL659,GALANTAMINE,Enzyme,(-)-galantamine|(-)-galanthamine|Galantamina|Galantamine|Galanthamine|NSC-100058|Razadyne,Small molecule,Acetylcholinesterase inhibitor,drug_common_name,galantamine
CHEMBL669,CYCLOBENZAPRINE,Ion channel|Membrane receptor,Ciclobenzaprina|Cyclobenzaprine|Flexeril|MK-130 (AS THE BASE)|TNX-102,Small molecule,Serotonin 2a (5-HT2a) receptor antagonist,drug_common_name,cyclobenzaprine
CHEMBL1370561,AMINOPHYLLINE,Enzyme,Aminofilina|Aminophylline|Aminophyllinum|Cardophyllin|Linampheta|NSC-7919|Syntophyllin|Theophyllamine|Theophylline ethylenediamine|Theophylline-ethylenediamine,Small molecule,Phosphodiesterase 4 inhibitor,drug_common_name,aminophylline
CHEMBL218490,DORZOLAMIDE,Enzyme|Unclassified protein,"Dorzolamida|Dorzolamide|Dorzolamide, trans-(-)-|MK-507|Trusopt",Small molecule,Carbonic anhydrase II inhibitor,drug_common_name,dorzolamide
CHEMBL726,FLUPHENAZINE,Membrane receptor,Flufenazina|Fluphenazine|NSC-62323|Permitil|Prolixin,Small molecule,Dopamine D2 receptor antagonist,drug_common_name,fluphenazine
CHEMBL728,PROCHLORPERAZINE,Membrane receptor,Prochlorperazine|Prochlorperazine mesilate|Prochlorperazine mesylate|Proclorperazina,Small molecule,Dopamine D2 receptor antagonist,drug_common_name,prochlorperazine
CHEMBL1201117,METHOCARBAMOL,Enzyme,Methocarbamol|Metocarbamol|NSC-170960,Small molecule,Carbonic anhydrase I inhibitor,drug_common_name,methocarbamol
CHEMBL457,GEMFIBROZIL,Transcription factor,CI-719|Gemfibrozil|Gemfibrozilo|NSC-757024,Small molecule,Peroxisome proliferator-activated receptor alpha agonist,drug_common_name,gemfibrozil
CHEMBL1071,OXAPROZIN,Enzyme,"NSC-310839|Oxaprozin|Oxaprozina|Oxaprozine|WY-21,743|WY-21743",Small molecule,Cyclooxygenase inhibitor,drug_common_name,oxaprozin
CHEMBL1101,BIPERIDEN,Membrane receptor,Akineton|Akineton-|Biperiden|Biperidene|Biperideno|Biperidenum|KL 373|NSC-759145,Small molecule,Muscarinic acetylcholine receptor M1 antagonist,drug_common_name,biperiden
CHEMBL531,PERGOLIDE,Membrane receptor,Pergolida|Pergolide,Small molecule,Dopamine receptor agonist,drug_common_name,pergolide
CHEMBL567,PERPHENAZINE,Membrane receptor,Etaperazine|NSC-150866|Perfenazina|Perphenazine|Perphenazine fendizoate|Perphenazine maleate,Small molecule,Dopamine D2 receptor antagonist,drug_common_name,perphenazine
CHEMBL95,TACRINE,Enzyme,Tacrina|Tacrinal|Tacrine,Small molecule,Cholinesterases; ACHE & BCHE inhibitor,drug_common_name,tacrine
CHEMBL972,SELEGILINE,Enzyme,Eldepryl|L-selegiline|Selegilina|Selegiline|Zelapar,Small molecule,Monoamine oxidase B inhibitor,drug_common_name,selegiline
CHEMBL94,PHYSOSTIGMINE,Enzyme,(-)-physostigmine|Cogmine|Eserin|Eserine|Eserinum|MCV-4484|NSC-30782|Physostigmine,Small molecule,Acetylcholinesterase inhibitor,drug_common_name,physostigmine
CHEMBL1482,BETHANECHOL,Membrane receptor,Bethanechol,Small molecule,Muscarinic acetylcholine receptor M2 agonist,drug_common_name,bethanechol
CHEMBL316561,PROGLUMIDE,Membrane receptor,Binoside|CR-242|Dl-proglumide|Gastrotopic|Midelid|NSC-757841|Proglumida|Proglumide|Promid|Ulcutin|W-5219|Xylamide,Small molecule,Cholecystokinin receptor antagonist,drug_common_name,proglumide
CHEMBL2103741,LEVOTHYROXINE SODIUM,Transcription factor,Eferox|Levaxin|Levothyrox|Levothyroxine sodique|Levothyroxine sodium|Levothyroxine sodium anhydrous|Levothyroxine sodium hydrate|Levothyroxine sodium pentahydrate|Levothyroxinum natricum anhydrous|Levotiroxina de sodio|Liotrix (t4)|Monosodium l-thyroxine hydrate|NSC-259940|Oroxine|Sodium levothyroxine pentahydrate|Soloxine|T4 (liotrix)|Thyroxine|Thyroxine sodium|Thyroxine sodium salt,Small molecule,Thyroid hormone receptor agonist,drug_common_name,levothyroxine sodium
CHEMBL841,LOPERAMIDE,Membrane receptor,Imodium|Loperamida|Loperamide,Small molecule,Mu opioid receptor agonist,drug_common_name,loperamide
CHEMBL1515,METHIMAZOLE,Enzyme,Mercaptizole|Methimazole|NSC-38608|Thiamazol|Thiamazole|Tiamazol,Small molecule,Thyroid peroxidase inhibitor,drug_synonym,thiamazole
CHEMBL497939,CYTISINICLINE,Ion channel,6039 Sopharma|Baptitoxine|Citisiniclina|Cytisine|Cytisinicline|Cytiton|NSC-407282|Sophorine|Ulexine,Small molecule,Neuronal acetylcholine receptor; alpha4/beta2 partial agonist,drug_synonym,cytisine
CHEMBL1200875,FLAVOXATE HYDROCHLORIDE,Enzyme,DW-61|Flavoxate|Flavoxate hcl|Flavoxate hydrochloride|NSC-114649,Small molecule,Phosphodiesterase 4 inhibitor,drug_synonym,flavoxate
CHEMBL1242,PHENAZOPYRIDINE,Ion channel,Fenazopiridina|NSC-145895|Phenazopyridine,Small molecule,Sodium channel alpha subunit blocker,drug_common_name,phenazopyridine
CHEMBL19,METHAZOLAMIDE,Enzyme,L-584601|Metazolamida|Methazolamide|Methenamide|NSC-758426|Neptazaneat|VVP-808|VVP808,Small molecule,Carbonic anhydrase I inhibitor,drug_common_name,methazolamide
CHEMBL49,BUSPIRONE,Membrane receptor,BCI-024|Buspar|Buspirona|Buspirone|Gen-buspirone,Small molecule,Serotonin 1a (5-HT1a) receptor partial agonist,drug_common_name,buspirone
CHEMBL1607273,CETIRIZINE HYDROCHLORIDE,Membrane receptor,Cetirizine|Cetirizine dihydrochloride|Cetirizine hcl|Cetirizine hydrochloride|Cetrine|NSC-759102|P 071|P-071|Zyrtec,Small molecule,Histamine H1 receptor antagonist,drug_synonym,cetirizine
CHEMBL122,ROFECOXIB,Enzyme,M01AH02|MK-0966|MK-966|MK0966|NSC-720256|NSC-758705|Rofecoxib|TRM-201|TRM201,Small molecule,Cyclooxygenase-2 inhibitor,drug_common_name,rofecoxib
CHEMBL1626,CLEMASTINE,Membrane receptor,Clemastin|Clemastina|Clemastine|HS-592|NSC-756685,Small molecule,Histamine H1 receptor antagonist,drug_common_name,clemastine
CHEMBL17157,TERFENADINE,Membrane receptor,NSC-665802|NSC-758627|RMI 9918|RMI-9918|Terfenadina|Terfenadine,Small molecule,Histamine H1 receptor antagonist,drug_common_name,terfenadine
CHEMBL219916,DOMPERIDONE,Membrane receptor,"Domperidona|Domperidone|NSC-299589|NSC-759575|R 33,812|R-33812",Small molecule,Dopamine D2 receptor antagonist,drug_common_name,domperidone
CHEMBL1108,DROPERIDOL,Membrane receptor,Droperidol|MCN-JR-4749|NSC-169874|R-4749,Small molecule,D2-like dopamine receptor antagonist,drug_common_name,droperidol
CHEMBL1196,PROPARACAINE,Ion channel,Alcaine|Kainair|Ophthaine|Ophthetic|Paracaine|Proparacaine|Proximetacaina|Proxymetacaine,Small molecule,Sodium channel alpha subunit blocker,drug_synonym,proxymetacaine
CHEMBL146095,GLAFENINE,Enzyme,Glafenin|Glafenina|Glafenine|Glaphenine|Glycerylaminophenaquine|NSC-757808|R 1707|R-1707,Small molecule,Cyclooxygenase inhibitor,drug_common_name,glafenine
CHEMBL175,DEXIBUPROFEN,Enzyme,(s)-ibuprofen|Dexibuprofen|Dexibuprofene|Dexibuprofeno|IBU-TAB|NSC-759814|Neoprofen|Rufen|S-ibuprofen,Small molecule,Cyclooxygenase inhibitor,drug_common_name,dexibuprofen
CHEMBL277474,ANTIPYRINE,Enzyme,Antipyrin|Antipyrine|Antipyrinum|Fenazona|NSC-7945|Phenazon|Phenazone,Small molecule,Cyclooxygenase-1 inhibitor,drug_synonym,phenazone
CHEMBL3989803,DIPYRONE,Enzyme,Analgin|Dipyrone|Dipyrone anhydrous|Metamizol|Metamizol de sodio|Metamizol monohydrate|Metamizole sodique|Metamizole sodium|Metamizole sodium (anhydrous)|Metamizole sodium hydrate|Metamizole sodium monohydrate|Metamizolum natricum anhydricum|Methampyrone|NSC-73205|NSC-758445|Noramidopyrine methanesulfonate sodium|Novalgin|Sulpyrine|Sulpyrine hydrate,Small molecule,Cyclooxygenase inhibitor,drug_synonym,metamizole sodium
CHEMBL527,PIROXICAM,Enzyme,"CP-16,171|CP-16171|NSC-666076|Piroxicam",Small molecule,Cyclooxygenase inhibitor,drug_common_name,piroxicam
CHEMBL686,MEFENAMIC ACID,Enzyme,Acide mefenamique|Acido mefenamico|CI-473|CN-35355|Gardan|INF-3355|J2.344B|M01AG01|Mefenamate|Mefenamic acid|Mefenaminic acid|Mephenamic acid|Mephenaminic acid|NSC-94437,Small molecule,Cyclooxygenase inhibitor,drug_common_name,mefenamic acid
CHEMBL898,DIFLUNISAL,Enzyme,Diflunisal|NSC-756728,Small molecule,Cyclooxygenase inhibitor,drug_common_name,diflunisal
CHEMBL42,CLOZAPINE,Membrane receptor,Clozapina|Clozapine|Clozapine (caraco)|Clozapine (clozaril)|Clozapine (fazaclo)|Clozapine (ivax)|Clozapine (mylan)|Clozapine (teva)|Clozapine (udl)|Clozapine (versacloz)|Clozapine resolution mixture|HF 1854|HF-1854|Leponex|NSC-757429,Small molecule,Dopamine D2 receptor antagonist,drug_common_name,clozapine
CHEMBL460,MOLINDONE,Membrane receptor,Moban|Molindona|Molindone|Spn-810,Small molecule,Dopamine D2 receptor antagonist,drug_common_name,molindone
CHEMBL776,METAPROTERENOL,Membrane receptor,Metaproterenol|Orciprenalina|Orciprenaline,Small molecule,Beta-2 adrenergic receptor agonist,drug_synonym,orciprenaline
CHEMBL1200600,FLUOROMETHOLONE,Transcription factor,Fluorometholone|Fluorometolona|NSC-33001,Small molecule,Glucocorticoid receptor agonist,drug_common_name,fluorometholone
CHEMBL802,MINOXIDIL,Transporter|Ion channel,"Alopexil|Alostil|Minoxidil|Minoximen|Mintop|NSC-757106|Normoxidil|Pierminox|Prexidil|Tricoxidil|U-10,858|U-10858",Small molecule,"Sulfonylurea receptor 2, Kir6.2 opener",drug_common_name,minoxidil
CHEMBL621,TRAZODONE,Ion channel|Membrane receptor,Desyrel|J10.767K|Trazodona|Trazodone|Trialodine|Trittico,Small molecule,Serotonin 2a (5-HT2a) receptor antagonist,drug_common_name,trazodone
CHEMBL193482,ESTRIOL,Transcription factor,"16.ALPHA.-HYDROXYESTRADIOL|16.alpha.,17.beta.-estriol|Aacifemine|Colpogyn|Estriol|Estriol acetate benzoate|Estriol propionate|Estriol succinate|Incurin|NSC-12169|Oestriol|Succinate d'estriol|Succinato de estriol|Trihydroxyestrin",Small molecule,Estrogen receptor modulator,drug_common_name,estriol
CHEMBL420,GUANABENZ,Membrane receptor,Guanabenz|Guanabenzo|NSC-68982|WY-8678,Small molecule,Adrenergic receptor alpha-2 agonist,drug_common_name,guanabenz
CHEMBL534,KETOTIFEN,Membrane receptor,(R)-Ketotifen|Ketotifen|Ketotifene|Ketotifeno,Small molecule,Histamine H1 receptor antagonist,drug_common_name,ketotifen
CHEMBL1201089,DIPHENHYDRAMINE CITRATE,Membrane receptor,Diphenhydramine|Diphenhydramine citrate|Diphenhydramine laurylsulfate|Diphenhydramine tannate,Small molecule,Histamine H1 receptor antagonist,drug_synonym,diphenhydramine
CHEMBL499915,CARBENOXOLONE,Enzyme,Carbenoxolona|Carbenoxolone,Small molecule,11-beta-hydroxysteroid dehydrogenase inhibitor,drug_common_name,carbenoxolone
CHEMBL1000,CETIRIZINE,Membrane receptor,AC-170|Cetiderm|Cetirizina|Cetirizine,Small molecule,Histamine H1 receptor antagonist,drug_common_name,cetirizine
