drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action
CHEMBL1005,REMIFENTANIL,Membrane receptor,GI 87084X|IDS-NR-005|Ramifentanyl|Remifentanil|Remifentanilo|Remifentanyl|Ultiva|Ultiva-,Small molecule,Mu opioid receptor agonist
CHEMBL1009,LEVODOPA,Membrane receptor,Bendopa|Cvt-301|Levodopa|Levodopa component of carbilev|Levodopa component of parcopa|Levodopa component of sinemet|Levodopum|NSC-118381|V-1512,Small molecule,Dopamine D3 receptor agonist
CHEMBL119625,ZONAMPANEL,Ion channel,YM 872 ANHYDROUS|YM-872|YM-872 ANHYDROUS|YM872|YM872 ANHYDROUS|Ym 872|Zonampanel|Zonampanel anhydrous|Zonampanel monohydrate,Small molecule,Glutamate receptor ionotropic AMPA antagonist
CHEMBL1201236,CARBIDOPA ANHYDROUS,Enzyme,"Carbidopa anhydrous|Carbidopa, l- anhydrous",Small molecule,DOPA decarboxylase inhibitor
CHEMBL1303,ROTIGOTINE,Membrane receptor,Leganto|Rotigotina|Rotigotine|SPM 962|SPM-962,Small molecule,D2-like dopamine receptor agonist
CHEMBL149082,TRAMIPROSATE,Membrane receptor,3-aminopropane sulfonic acid|Acamprosate related compound a|Homotaurine|NC-758|NSC-77071|Tramiprosate|Tramiprosato,Small molecule,Beta amyloid A4 protein stabiliser
CHEMBL1615369,DABIGATRAN ETEXILATE MESYLATE,Enzyme,BIBR 1048 MS|BIBR-1048-MS|Dabigatran etexilate mesilate|Dabigatran etexilate mesylate,Small molecule,Thrombin inhibitor
CHEMBL1694,BENAZEPRIL HYDROCHLORIDE,Enzyme,Benazepril hcl|Benazepril hydrochloride|CGS 14824A HCL|CGS-14824A|CGS-14824A HCL|NSC-758920,Small molecule,Angiotensin-converting enzyme inhibitor
CHEMBL1717,TICLOPIDINE HYDROCHLORIDE,Membrane receptor,4-C-32|53-32C|Ipaton|NSC-759165|Ticlopidine hcl|Ticlopidine hydrochloride,Small molecule,Purinergic receptor P2Y12 antagonist
CHEMBL17350,TRAXOPRODIL,Ion channel,"CP-101,606|CP-101606|Cp-101,606|Traxoprodil",Small molecule,Glutamate NMDA receptor; GRIN1/GRIN2B antagonist
CHEMBL2095222,OCRIPLASMIN,Structural protein,"Jetrea|MICROPLASMIN|Microplasmin (synthetic human)|Ocriplasmin|Ocriplasmina|Ocriplasmine|Plasmin, micro- (synthetic human)|Recombinant human microplasmin",Protein,Laminin hydrolytic enzyme
CHEMBL2103795,AZILSARTAN KAMEDOXOMIL,Membrane receptor,Azilsartan kamedoxomil|Azilsartan medoxomil potassium|TAK-491,Small molecule,Type-1 angiotensin II receptor antagonist
CHEMBL2108131,PLASMINOGEN,Secreted protein,Human plasminogen|Plasma trypsinogen|Plasminogen|Profibrinolysin,Unknown,Fibrinogen hydrolytic enzyme
CHEMBL2109084,DESMOTEPLASE,Enzyme,Desmoteplasa|Desmoteplase|Dspa desmoteplase|RDSPA ALPHA 1,Enzyme,Plasminogen activator
CHEMBL2109573,GSK-249320,Adhesion,GSK-249320|Gsk-249320,Antibody,Myelin-associated glycoprotein inhibitor
CHEMBL345237,PICLOZOTAN,Membrane receptor,Piclozotan|SUN-N-4057|Sun-n4057,Small molecule,Serotonin 1a (5-HT1a) receptor agonist
CHEMBL4297743,ELEZANUMAB,Unclassified protein,ABT-555|AE12-1Y-QL|Abt-555|Elezanumab|PR-1432051,Antibody,Repulsive guidance molecule A inhibitor
CHEMBL4650395,GLENZOCIMAB,Adhesion,ACT-017|ACT017|Glenzocimab,Antibody,Platelet glycoprotein VI (GPVI) inhibitor
CHEMBL516,CYPROHEPTADINE,Membrane receptor,Ciproheptadina|Ciprovit|Cyproheptadine,Small molecule,Histamine H1 receptor antagonist
CHEMBL5314421,AMELPARIB DIHYDROCHLORIDE DIHYDRATE,Enzyme,Amelparib dihydrochloride dihydrate|JPI-289|Jpi-289,Small molecule,Poly [ADP-ribose] polymerase-1 inhibitor
CHEMBL589,ROPINIROLE,Membrane receptor,NSC-758917|Requip|Ropinirol|Ropinirole|SK&F 101468,Small molecule,D2-like dopamine receptor agonist
CHEMBL612,DEXTROAMPHETAMINE,Transporter,"Amfetamine, (s)-|Amphetamine, d-|D-amphetamine|Dexamfetamine|Dexampex|Dexamphetamine|Dexanfetamina|Dexedrine|Dexidrine|Dextroamphetamine|Dextroamphetamine resin complex|Dextrostat|Ferndex|NSC-73713|Xelstrym",Small molecule,Synaptic vesicular amine transporter inhibitor
CHEMBL703,SUXAMETHONIUM,Ion channel,Anectine|Quelicin|Succinylcholine|Succinylcholine cation|Succinylcholine ion|Sucostrin|Suxamethonium|Suxamethonium cation|Suxamethonium ion,Small molecule,Muscle-type nicotinic acetylcholine receptor agonist
CHEMBL928,DANTROLENE SODIUM,Ion channel,Dantamacrin|Dantrolen|Dantrolene sodium|Dantrolene sodium heptahydrate|Dantrolene sodium hydrate|Dantrolene sodium salt hemiheptahydrate|F-440|NSC-758403,Small molecule,Ryanodine receptor 3 antagonist
CHEMBL109648,CLAZOSENTAN,Membrane receptor,ACT-108475|AXV-034343|AXV-343434|Axv-034|Clazosentan|RO-61-1790|Ro 61-1790|VML-588,Small molecule,Endothelin receptor ET-A antagonist
CHEMBL1256,ISOFLURANE,Ion channel,COMPOUND 469|COMPOUND-469|Isoflurane|Isoflurano,Small molecule,GABA-A receptor; anion channel positive allosteric modulator
CHEMBL189,MILRINONE,Enzyme,"Milrila|Milrinona|Milrinone|NSC-760072|WIN 47,203-2|WIN-47203-2",Small molecule,Phosphodiesterase 3A inhibitor
CHEMBL2107815,TREPROSTINIL DIOLAMINE,Membrane receptor,Treprostinil diethanolamine|Treprostinil diolamin|Treprostinil diolamine|UT-15C,Small molecule,Prostanoid IP receptor agonist
CHEMBL2107834,RIOCIGUAT,Enzyme,BAY 63-2521|BAY-63-2521|Riociguat,Small molecule,Soluble guanylate cyclase positive allosteric modulator
CHEMBL3039504,NINTEDANIB ESYLATE,Enzyme|Unclassified protein,Nintedanib esilate|Nintedanib esylate|Nintedanib ethanesulfonate,Small molecule,Fibroblast growth factor receptor inhibitor
CHEMBL4298097,ROMILKIMAB,Secreted protein,Hutbti3_2_1|Romilkimab|SAR-156597|SAR156597|Sar156597,Antibody,Interleukin-4 inhibitor
CHEMBL1200760,BALSALAZIDE DISODIUM,Enzyme,BX-661A|BX661A|Balsalazide disodium|Balsalazide disodium anhydrous|Balsalazide disodium dihydrate|Balsalazide disodium salt dihydrate|Balsalazide sodium|Balsalazine|NSC-760046,Small molecule,Arachidonate 5-lipoxygenase inhibitor
CHEMBL1201013,OLSALAZINE SODIUM,Enzyme,Ads|Azodisal sodium|CJ 91B|CJ-91B|Disodium azodisalicylate|Olsalazine disodium salt|Olsalazine sodium|Sodium azodisalicylate|Sodium olsalazine,Small molecule,Arachidonate 5-lipoxygenase inhibitor
CHEMBL1201346,BALSALAZIDE,Transcription factor|Epigenetic regulator,Balsalazida|Balsalazide,Small molecule,Peroxisome proliferator-activated receptor gamma agonist
CHEMBL1743015,ETROLIZUMAB,Membrane receptor,Anti-.beta.7|Anti-Beta7|Anti-Beta7 Pro145223|Etrolizumab|PRO-145223|PRO145223|RG-7413|RHUMAB-BETA7|Rhumab .beta.7|rhuMAb beta7,Antibody,Integrin beta-7 antagonist
CHEMBL2103855,TELOTRISTAT,Enzyme,LP 778902|LP-778902|Telotristat,Small molecule,Tryptophan 5-hydroxylase inhibitor
CHEMBL2109103,BERTILIMUMAB,Secreted protein,Bertilimumab|CAT-213|ICO-008,Antibody,Eotaxin inhibitor
CHEMBL2109342,HGS-1025,Membrane receptor,HGS-1025|Hgs-1025,Antibody,C-C chemokine receptor type 5 inhibitor
CHEMBL303960,RIVENPROST,Membrane receptor,(-)-ono-4819|ONO-4819|Rivenprost,Small molecule,Prostanoid EP4 receptor agonist
CHEMBL3353541,GLPG-0974,Membrane receptor,GLPG-0974|GLPG0974|Glpg-0974|Glpg0974,Small molecule,Free fatty acid receptor 2 antagonist
CHEMBL3545101,KRP203,Membrane receptor,Krp203,Small molecule,Sphingosine 1-phosphate receptor Edg-1 agonist
CHEMBL3707311,VAMOROLONE,Transcription factor,"9,11-dehydro dexamethasone|9,11-dehydrodexamethasone acetate|VBP-15|Vamorolona|Vamorolone|Vamorolone acetate|Vbp-15 free alcohol",Small molecule,Mineralocorticoid receptor antagonist
CHEMBL3989933,ETRASIMOD ARGININE,Membrane receptor,APD334 L-Arginine|Etrasimod arginine,Small molecule,Sphingosine 1-phosphate receptor Edg-6 modulator
CHEMBL4297564,COBITOLIMOD,Membrane receptor,Cobitolimod,Oligonucleotide,Toll-like receptor 9 agonist
CHEMBL4594518,LUTIKIZUMAB,Secreted protein,A-1234138|ABT-981|Abt-981|Lutikizumab,Antibody,Interleukin-1 beta inhibitor
CHEMBL4650343,IZENCITINIB,Enzyme,Izencitinib|TD-1473|TD1473|Td-1473,Small molecule,Janus Kinase (JAK) inhibitor
CHEMBL4802154,TILPISERTIB,Enzyme,Tilpisertib,Small molecule,Mitogen-activated protein kinase kinase kinase 8 inhibitor
CHEMBL4802198,QUISOVALIMAB,Secreted protein,AEVI-002|AEVI002|AVTX-002|AVTX002|Avtx-002|CERC-002|CERC002|Cerc 002|Cerc-002|F-19|KHK-252067|MDGN-002|MDGN002|Mdgn-002|Quisovalimab|SAR-252067|SAR252067,Antibody,Tumor necrosis factor ligand superfamily member 14 inhibitor
CHEMBL2105694,TELAPRISTONE ACETATE,Transcription factor,CDB-4124|RU 44675|RU-44675|Telapristone acetate|ZPV-200,Small molecule,Progesterone receptor modulator
CHEMBL260538,ULIPRISTAL ACETATE,Transcription factor,CDB-2914|PGL-4001|RTI-3021-012|Ulipristal acet|Ulipristal acetate|Ulipristal acetate |VA-2914|VA2914,Small molecule,Progesterone receptor modulator
CHEMBL267431,ASOPRISNIL,Transcription factor,Asoprisnil|Asoprisnilo|BAY86-5294|J-867|J867,Small molecule,Progesterone receptor modulator
CHEMBL3301668,CARBETOCIN,Membrane receptor,Carbetocin|Carbetocina|Carbetocine|FE 992097|FE-992097|LV-101,Protein,Oxytocin receptor agonist
CHEMBL3989936,VILAPRISAN,Transcription factor,BAY-1002670|BAY1002670|Vilaprisan,Small molecule,Progesterone receptor modulator
CHEMBL1079,TIZANIDINE,Membrane receptor,Tizanidina|Tizanidine|Zanaflex,Small molecule,Adrenergic receptor alpha-2 agonist
CHEMBL1189679,PALONOSETRON,Ion channel|Membrane receptor,"(-)-palonosetron|Aurothioglucose|NSC-743769|Palonosetron|Palonosetron, (3as, 3s)-",Small molecule,Serotonin 3a (5-HT3a) receptor antagonist
CHEMBL1743260,KARENITECIN,Enzyme,Karenitecin,Small molecule,DNA topoisomerase I inhibitor
CHEMBL2107862,RINTATOLIMOD,Membrane receptor,Atvogen|Poly i : poly c12u|Poly i: poly c12u|Rintatolimod,Oligonucleotide,Toll-like receptor 3 agonist
CHEMBL2108061,VOLOCIXIMAB,Membrane receptor,M-200|M200|Volociximab,Antibody,Integrin alpha-5/beta-1 antagonist
CHEMBL2109413,AS-1409,Adhesion,AS-1409|As-1409|HUBC1-HUIL12,Antibody,Fibronectin binding agent
CHEMBL2109477,SELICRELUMAB,Membrane receptor|Secreted protein,"CP 870,893|CP-870,893|CP-870893|RG-7876|RG7876|RO-7009789|Selicrelumab",Antibody,Tumor necrosis factor receptor superfamily member 5 agonist
CHEMBL2109512,MCS-110,Secreted protein,MCS-110|Mcs-110,Antibody,Macrophage colony-stimulating factor 1 inhibitor
CHEMBL3186011,EPRENETAPOPT,Other nuclear protein|Transcription factor|Enzyme,APR-246|Apr 246|Apr-246|Eprenetapopt|PRIMA-1Met,Small molecule,Cellular tumor antigen p53 stabiliser
CHEMBL3545027,XL-281,Enzyme,BMS-908662|Bms-908662 free base|EXEL-2819|Xl 281|Xl-281,Small molecule,Serine/threonine-protein kinase RAF inhibitor
CHEMBL4297480,SX-682,Membrane receptor,SX-682|SX682|Sx-682,Small molecule,"Interleukin-8 receptors, CXCR1/CXCR2 inhibitor"
CHEMBL4297555,RESIMMUNE,Other cytosolic protein,A-dmdt390-bisfv(ucht1)|LAX-699|Resimmune,Unknown,Elongation factor 2 inhibitor
CHEMBL4297888,SOTIGALIMAB,Membrane receptor|Secreted protein,APX-005|APX-005M|APX005M|Apx005m|EPI-0050|Sotigalimab,Antibody,Tumor necrosis factor receptor superfamily member 5 agonist
CHEMBL4297990,TEBENTAFUSP,Unclassified protein,IMCGP-100|IMCGP100|IMCgp 100|IMMTAC IMCGP100|Imcgp100|ImmTAC IMCgpgp 100|Kimmtrak|Tebentafusp|Tebentafusp tebn|Tebentafusp-tebn,Protein,Melanocyte protein PMEL binding agent
CHEMBL4298085,FIANLIMAB,Unclassified protein,Fianlimab|REGN-3767|REGN3767|Regn3767,Antibody,Lymphocyte activation gene 3 protein inhibitor
CHEMBL549344,CPG-52852,Membrane receptor,Cpg-52852|PF-4878691,Small molecule,Toll-like receptor 7 agonist
CHEMBL566757,DAPORINAD,Enzyme,APO 866|APO-866|APO866|Daporinad|FK 866|FK-866|FK866|K 22.175,Small molecule,Nicotinamide phosphoribosyltransferase inhibitor
CHEMBL2108709,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,Structural protein,AA-4500|AA4500|Clostridial collagenase|Clostridium histolyticum enzymes|Collagenase|Collagenase (clostridium histolyticum)|Collagenase clostridium histolyticum|Cordase|Iruxol|MZ-004|Plaquase,Enzyme,Collagen hydrolytic enzyme
CHEMBL4297711,BULEVIRTIDE,Transporter,915207G|Bulevirtida|Bulevirtide|Hepcludex,Protein,Bile acid transporter inhibitor
CHEMBL1029,MIGLUSTAT,Enzyme,Butyldeoxynojirimycin|Miglustat|N-butyldeoxynojirimycin|OGT 918|OGT-918,Small molecule,Ceramide glucosyltransferase inhibitor
CHEMBL1115,PYRIDOSTIGMINE,Enzyme,Mestinon|Pyridostigmine|Pyridostigmine cation|Pyridostigmine ion|Regonol,Small molecule,Acetylcholinesterase inhibitor
CHEMBL1200807,NORELGESTROMIN,Transcription factor,Deacetylnorgestimate|Norelgestromin|Norelgestromina|Norelgestromine|RWJ-10553,Small molecule,Progesterone receptor agonist
CHEMBL1200841,PROCAINE HYDROCHLORIDE,Ion channel,Anestil|Enpro|Jenacaine|Medaject|NSC-757280|Naucaine|Neocaine|Omnicain|Planocaine|Procaine hcl|Procaine hydrochloride|Procaini hydrochloridum|Rocain|SP-01A|SP01A|Sp01a|Syntocain,Small molecule,Sodium channel alpha subunit blocker
CHEMBL1201099,CODEINE PHOSPHATE,Membrane receptor,Codeine phosphate|Codeine phosphate anhydrous|Codeine phosphate bp|Codeine phosphate cii|Codeine phosphate hemihydrate|Codeine phosphate hydrate|Codeini phosphas|Methylmorphine,Small molecule,Opioid receptors; mu/kappa/delta agonist
CHEMBL1255794,APLAVIROC,Membrane receptor,AK-602|Aplaviroc|GSK-873140|GW-873140|GW873140,Small molecule,C-C chemokine receptor type 5 antagonist
CHEMBL1649931,PF-232798,Membrane receptor,PF-232798|Pf-00232798|Pf-232798,Small molecule,C-C chemokine receptor type 5 inhibitor
CHEMBL1668019,APLAVIROC HYDROCHLORIDE,Membrane receptor,Aplaviroc hcl|Aplaviroc hydrochloride|GW-873140A|GW873140A,Small molecule,C-C chemokine receptor type 5 antagonist
CHEMBL2107384,VICRIVIROC MALEATE,Membrane receptor,MK-4176|SCH 417690|SCH-417690|Sch417690|Vicriviroc maleate,Small molecule,C-C chemokine receptor type 5 antagonist
CHEMBL2110372,RANITIDINE HYDROCHLORIDE,Membrane receptor,AH 19065|AH-19065|Ranitidine hcl|Ranitidine hydrochloride|Taladine,Small molecule,Histamine H2 receptor antagonist
CHEMBL2110737,CELGOSIVIR,Enzyme,Celgosivir,Small molecule,Alpha glucosidase inhibitor
CHEMBL256147,TILARGININE,Enzyme,.omega.-n-methylarginine|L-NMMA|Ng-methylarginine|Ng-monomethyl-l-arginine|Omega-n-methylarginine|Omega-n-methylated arginine|Targinine|Tilarginina|Tilarginine,Small molecule,Nitric oxide synthase inhibitor
CHEMBL485,CODEINE,Membrane receptor,Codeine|Codeine monohydrate|Codeinum|Codeinum monohydricum|Dea no. 9050|IDS-NC-005(SECT.-2),Small molecule,Opioid receptors; mu/kappa/delta agonist
CHEMBL568,OXAZEPAM,Ion channel,"J3.308A|NSC-169448|Oxazepam|Oxazepam civ|Oxozepam|Temazepam impurity, oxazepam-|WY-3498",Small molecule,GABA-A receptor; anion channel positive allosteric modulator
CHEMBL569,PROCAINE,Ion channel,NSC-169497|Novocain|Procaina|Procaine,Small molecule,Sodium channel alpha subunit blocker
CHEMBL651,METHADONE,Membrane receptor,Amidone|Diaminon|Dl-methadone|Dolophin|Dolophine|Heptadon|Heptadone|IDS-NM-002|Metadona|Metasedin|Methadone|Methadose|Phenadone|Phy|Physeptone|Symoron|Westadone,Small molecule,Mu opioid receptor agonist
CHEMBL82301,VICRIVIROC,Membrane receptor,MK-7690|SCH-351125|SCH-417690 FREE BASE|SCH-D|Vicriviroc,Small molecule,C-C chemokine receptor type 5 antagonist
CHEMBL1743081,TRALOKINUMAB,Secreted protein,CAT-354|Tralokinumab,Antibody,Interleukin-13 inhibitor
CHEMBL1950289,TANZISERTIB,Enzyme,CC-930|JNK 930|JNK-930|JNK930|Tanzisertib,Small molecule,c-Jun N-terminal kinase 2 inhibitor
CHEMBL2103744,MORPHINE SULFATE,Membrane receptor,"Arymo|Astramorph|Dolcontin|Kapanol|Morcap|Morphine sulfate|Morphine sulfate anhydrous|Morphine sulfate cii|Morphine sulfate hydrate|Morphine sulfate pentahydrate|Morphine sulfate,anhydrous|Morphine sulphate|Morphine sulphate anhydrous|Morphine sulphate pentahydrate|Morphini sulfas|Moscontin|NSC-11441",Small molecule,Mu opioid receptor agonist
CHEMBL2109377,PAMREVLUMAB,Adhesion,FG-3019|Pamrevlumab,Antibody,Connective tissue growth factor inhibitor
CHEMBL2109623,STX-100,Membrane receptor,STX-100|Stx-100,Antibody,Integrin alpha-V/beta-6 inhibitor
CHEMBL3716057,GEFAPIXANT,Ion channel,AF-219|Af-219|Gefapixant|R-1646|R1646|RG-1646|RG1646|RO-4926219|RO4926219,Small molecule,P2X purinoceptor 3 antagonist
CHEMBL3716365,GLPG-1205,Membrane receptor,Glpg-1205|Glpg1205,Small molecule,G-protein coupled receptor 84 negative allosteric modulator
CHEMBL4101807,VOXELOTOR,Secreted protein,GBT-440|GBT440|GTX-011|Gbt440|Voxelotor,Small molecule,Hemoglobin HbA positive modulator
CHEMBL4297270,BMS-986020,Membrane receptor,AP-3152 FREE ACID|Bms-986020,Small molecule,Lysophosphatidic acid receptor Edg-2 antagonist
CHEMBL4297442,OLITIGALTIN,Other cytosolic protein,GB-0139|GB0139|Olitigaltin|Olitigaltina|Olitigaltine|TD-139|TD139|Td 139|Td-139|Td139,Small molecule,Galectin-3 inhibitor
CHEMBL93,ZILEUTON,Enzyme,A-64077|ABBOTT-64077|NSC-730712|NSC-759277|Zileuton,Small molecule,Arachidonate 5-lipoxygenase inhibitor
CHEMBL2109295,ASCRINVACUMAB,Enzyme,Ascrinvacumab|PF-03446962,Antibody,Serine/threonine-protein kinase receptor R3 inhibitor
CHEMBL240163,PAZUFLOXACIN,Enzyme,Pazufloxacin|Pazufloxacine|Pazufloxacino|T-3761,Small molecule,DNA topoisomerase II inhibitor
CHEMBL766,CILASTATIN,Enzyme,Cilastatin|Cilastatina|Cilastatine|Primaxin,Small molecule,Renal dipeptidase inhibitor
CHEMBL209821,NALUZOTAN,Membrane receptor,Naluzotan|PRX-00023,Small molecule,Serotonin 1a (5-HT1a) receptor agonist
CHEMBL2103815,LARAZOTIDE ACETATE,Ion channel,AT-1001|AT-1001 (LARAZOTIDE ACETATE)|Larazotide acetate,Protein,Neuronal acetylcholine receptor; alpha3/beta4 partial agonist
CHEMBL2105646,LARAZOTIDE,Ion channel,AT-2347|Larazotida|Larazotide,Protein,Neuronal acetylcholine receptor; alpha3/beta4 partial agonist
CHEMBL2109467,ORDESEKIMAB,Secreted protein,AMG 714|AMG-714|AMG714|Amg 714|HuMax-IL-15|Humax il15|Humax-il 15|MAb146B7|Ordesekimab|PRV-015|Prv-015,Antibody,Interleukin-15 inhibitor
CHEMBL636,RIVASTIGMINE,Enzyme,ENA-713|ENA-713D|ONO-2540|Rivastigmina|Rivastigmine|Rivastigmine hexal|Rivastigmine sandoz|Rivastigmine teva|SDZ-212-713|SDZ-212713|SDZ-ENA-713,Small molecule,Cholinesterases; ACHE & BCHE inhibitor
CHEMBL1162,NORETHINDRONE,Transcription factor,Activella|Anovule|Aygestin|Calluna vulgaris|Calluna vulgaris whole|Combipatch|Femhrt|Gestest|Heather whole|NSC-9564|Norethindrone|Norethisteron|Norethisterone|Norethisteronum|Noretisterona|Norlutate|SC-4640|Triella,Small molecule,Progesterone receptor agonist
CHEMBL2108567,TANEZUMAB,Secreted protein,PF-04383119|PF-4383119|RN-624|RN624|Tanezumab,Antibody,Beta-nerve growth factor inhibitor
CHEMBL3668014,LINZAGOLIX,Membrane receptor,KLH-2109|Klh-2109|Linzagolix|OBE-2109|OBE2109,Small molecule,Gonadotropin-releasing hormone receptor antagonist
CHEMBL1200437,QUINIDINE GLUCONATE,Ion channel,"Dura-tab|Gluconic acid quinidine salt|Gluquinate|NSC-757297|Quinidine gluconate|Quinidine mono-d-gluconate|Quinidine monogluconate, d-",Small molecule,Sodium channel alpha subunit blocker
CHEMBL4297949,AVEXITIDE,Membrane receptor,Avexitida|Avexitide|Exendin (9-39)|Exendin (9-39) amide|Exendin 9-39|Exendin(9-39)amide|Exendin-3 (9-39) amide,Protein,Glucagon-like peptide 1 receptor antagonist
CHEMBL1076903,VARENICLINE,Ion channel,"CP-526,555|CP-526555|Vareniclina|Varenicline",Small molecule,Neuronal acetylcholine receptor; alpha4/beta2 partial agonist
CHEMBL1201284,CINACALCET,Membrane receptor,AMG 073|AMG-073|AMG073|Cinacalcet|KRN-1493|KRN1493,Small molecule,Calcium sensing receptor positive allosteric modulator
CHEMBL188462,ISPRONICLINE,Ion channel,AZD-3480|Azd3480|Isproniclina|Ispronicline|TC-01734|TC-1734,Small molecule,Neuronal acetylcholine receptor; alpha4/beta2 partial agonist
CHEMBL4297287,HT-0712,Enzyme,BLX-028914|Blx-028914|Ht-0712|IPL-455903|OX-914,Small molecule,Phosphodiesterase 4 inhibitor
CHEMBL439849,VILAZODONE,Transporter,EMD 515259|EMD-515259|EMD-68-843|Vilazodona|Vilazodone,Small molecule,Serotonin transporter inhibitor
CHEMBL1194666,DIETHYLPROPION,Transporter,.alpha.-benzoyltriethylamine|Amfepramone|Anfepramona|Anfepramone|Anferpramon|C06954|D07444|Diethylcathinone|Diethylpropion|J4.327C,Small molecule,Dopamine transporter inhibitor
CHEMBL1201178,LISDEXAMFETAMINE DIMESYLATE,Transporter,Lisdexamfetamine dimesilate|Lisdexamfetamine dimesylate|Lisdexamfetamine dimethanesulfonate|Lisdexamfetamine mesilate|Lisdexamphetamine dimesilate|NRP-104|NRP104|SPD-489|SPD489|Tyvense,Small molecule,Synaptic vesicular amine transporter inhibitor
CHEMBL1201192,ARMODAFINIL,Transporter,"Armodafinil|Armodafinilo|CEP-10952|CEP-10953|CRL-40982|Modafinil, (r)-|NSC-751850|NSC-758711|R-(-)-modafinil",Small molecule,Dopamine transporter inhibitor
CHEMBL1201222,LISDEXAMFETAMINE,Transporter,L-lysine-dextroamphetamine|Lisdexamfetamine|Lisdexamphetamine|Lisdexanfetamina,Small molecule,Dopamine transporter releasing agent
CHEMBL1269258,CE-326597,Membrane receptor,"CE-326,597|Ce-326,597|Ce-326597",Small molecule,Cholecystokinin A receptor agonist
CHEMBL128,SUMATRIPTAN,Membrane receptor,Dfn-11|Dfn-11 (sumatriptan injection)|N02CC01|Sumatriptan,Small molecule,Serotonin 1b (5-HT1b) receptor agonist
CHEMBL1419,SIBUTRAMINE,Transporter,Butramin|Cf-alli|Medaria|Racemic sibutramine|Sibutramina|Sibutramine,Small molecule,Monoamine transporter inhibitor
CHEMBL1693,DIETHYLPROPION HYDROCHLORIDE,Transporter,Amfepramone hydrochloride|Anorex|D03801|Diethylpropion HCl|Diethylpropion hcl|Diethylpropion hydrochloride|Diethylpropion hydrochloride civ|Dobesin|Moderatan|Prefamone|Regenon,Small molecule,Norepinephrine transporter inhibitor
CHEMBL1698,BUPROPION HYDROCHLORIDE,Transporter,Amfebutamone hydrochloride|BW 323|BW-323|BW323|Bupropion HCl|Bupropion hcl|Bupropion hydrochloride|Mysimba|NSC-315851,Small molecule,Dopamine transporter inhibitor
CHEMBL2012520,LY377604,Membrane receptor,LY-377604|Ly-377604|Ly377604,Small molecule,Beta-1 adrenergic receptor antagonist
CHEMBL2062163,PHENDIMETRAZINE TARTRATE,Transporter,Adipost|Appecon|Azophenylene|NSC-13157|Phendimetrazine bitartrate|Phendimetrazine hydrogen tartrate|Phendimetrazine tartrate|Phendimetrazine tartrate ciii,Small molecule,Norepinephrine transporter inhibitor
CHEMBL2095211,LORCASERIN HYDROCHLORIDE,Membrane receptor,APD-356|APD356|Lorcaserin hcl|Lorcaserin hydrochloride|Lorqess,Small molecule,Serotonin 2c (5-HT2c) receptor agonist
CHEMBL2103758,PRAMLINTIDE,Other membrane protein|Membrane receptor,AC-0137|AC-137|AC0137|AC137|Pramlintida|Pramlintide|Tripro-amylin,Protein,Amylin receptor AMY3; CALCR/RAMP3 agonist
CHEMBL2103825,CETILISTAT,Enzyme,ATL-962|Cetilistat,Small molecule,Gastric lipase inhibitor
CHEMBL2105635,DAVALINTIDE,Other membrane protein|Membrane receptor,AC-2307|AC2307|Ac2307|Davalintida|Davalintide,Protein,"Amylin receptor AMY1, CALCR/RAMP1 agonist"
CHEMBL2107857,METRELEPTIN,Unclassified protein,"Leptin (human), n-methionyl-|Metreleptin|Metreleptina|Metreleptine|Myalept|N-methionylleptin (human)|R-METHULEPTIN",Protein,Leptin receptor agonist
CHEMBL220360,TARANABANT,Membrane receptor,MK-0364|MK-0634|Mk-0364|Mk0364|Taranabant,Small molecule,Cannabinoid CB1 receptor inverse agonist
CHEMBL2218896,NABILONE,Membrane receptor,CPD 109514|CPD-109514|Nabilona|Nabilone,Small molecule,Cannabinoid CB1 receptor agonist
CHEMBL24441,BETAHISTINE,Membrane receptor,Betahistina|Betahistine,Small molecule,Histamine H3 receptor antagonist
CHEMBL248702,DEXFENFLURAMINE,Membrane receptor,D-fenfluramine|Dexfenfluramina|Dexfenfluramine|Fenfluramine d-form|Isolipan|J13.711A|S 5614,Small molecule,Serotonin (5-HT) receptor agonist
CHEMBL3301624,SETMELANOTIDE,Membrane receptor,BIM-22493|RM-493|Setmelanotida|Setmelanotide,Protein,Melanocortin receptor 4 agonist
CHEMBL3544906,BENZPHETAMINE HYDROCHLORIDE,Transporter,Benzfetamine hydrochloride|Benzphetamine chloride|Benzphetamine hcl|Benzphetamine hydrochloride|Benzphetamine hydrochloride ciii|NSC-10937|U-0441,Small molecule,Norepinephrine transporter releasing agent
CHEMBL3545106,TM30339,Membrane receptor,Tm30339,Protein,Neuropeptide Y receptor type 4 agonist
CHEMBL3833353,PRAMLINTIDE ACETATE,Other membrane protein|Membrane receptor,AC0-137|AC0137|Pramlintide acetate|Pramlintide acetate anhydrous|Pramlintide acetate hydrate|Tripro-amylin acetate|Tripro-amylin acetate hydrate,Protein,Amylin receptor AMY3; CALCR/RAMP3 agonist
CHEMBL3989690,TESOFENSINE,Transporter,NS 2330|NS-2330|Ns2330|Tesofensina|Tesofensine,Small molecule,Monoamine transporter inhibitor
